nome,setor,dividendoPago
ABCP11,Shoppings,"0,84"
AEFI11,Outros,"1,16"
AFCR11,Híbrido,"1,06"
AFHI11,Títulos e Val. Mob.,"0,97"
AFOF11,Títulos e Val. Mob.,"0,95"
AGCX11,Outros,"10,86"
AIEC11,Lajes Corporativas,"0,84"
ALMI11,Lajes Corporativas,"0,58"
ALZR11,Híbrido,"1,13"
ANCR11B,Shoppings,"1,02"
ARCT11,Híbrido,"1,03"
ARRI11,Títulos e Val. Mob.,"1,18"
ATSA11,Shoppings,"1,04"
BARI11,Títulos e Val. Mob.,"1,06"
BBFI11B,Lajes Corporativas,"0,99"
BBFO11,Títulos e Val. Mob.,"0,93"
BBPO11,Lajes Corporativas,"1,20"
BBRC11,Outros,"1,00"
BBVJ11,Lajes Corporativas,"0,94"
BCFF11,Títulos e Val. Mob.,"0,97"
BCIA11,Títulos e Val. Mob.,"0,88"
BCRI11,Títulos e Val. Mob.,"1,10"
BICR11,Títulos e Val. Mob.,"0,97"
BLCP11,Outros,"0,97"
BLMC11,Títulos e Val. Mob.,"1,01"
BLMG11,Outros,"1,03"
BLMR11,Títulos e Val. Mob.,"0,89"
BMLC11,Lajes Corporativas,"0,87"
BNFS11,Outros,"1,22"
BPFF11,Outros,"0,95"
BPML11,Shoppings,"0,64"
BPRP11,Logística,"1,05"
BRCO11,Logística,"0,99"
BRCR11,Híbrido,"0,76"
BREV11,Híbrido,"1,10"
BRIM11,Residencial,"1,24"
BTAL11,Logística,"0,97"
BTCR11,Títulos e Val. Mob.,"0,97"
BTLG11,Híbrido,"1,09"
BTRA11,Outros,"0,97"
BTWR11,Lajes Corporativas,"1,01"
BVAR11,Outros,"0,09"
CARE11,Híbrido,"0,45"
CBOP11,Lajes Corporativas,"0,80"
CEOC11,Lajes Corporativas,"0,80"
CNES11,Lajes Corporativas,"0,46"
CORM11,Híbrido,"1,15"
CPFF11,Títulos e Val. Mob.,"1,00"
CPTS11,Títulos e Val. Mob.,"1,05"
CRFF11,Títulos e Val. Mob.,"0,82"
CTXT11,Lajes Corporativas,"0,48"
CVBI11,Títulos e Val. Mob.,"1,04"
CXCE11B,Lajes Corporativas,"1,11"
CXCO11,Lajes Corporativas,"1,00"
CXRI11,Títulos e Val. Mob.,"0,81"
CXTL11,Logística,"0,64"
DEVA11,Títulos e Val. Mob.,"1,04"
DMAC11,Residencial,"1,28"
DOMC11,Lajes Corporativas,"3,98"
DOVL11B,Lajes Corporativas,"0,81"
DRIT11B,Lajes Corporativas,"0,87"
EDFO11B,Lajes Corporativas,"1,20"
EDGA11,Lajes Corporativas,"0,35"
ELDO11B,Shoppings,"0,89"
ERCR11,Híbrido,"0,94"
EURO11,Logística,"0,73"
EVBI11,Híbrido,"0,98"
FAED11,Outros,"0,74"
FAMB11B,Lajes Corporativas,"0,35"
FATN11,Híbrido,"0,93"
FCFL11,Outros,"1,11"
FEXC11,Títulos e Val. Mob.,"0,97"
FFCI11,Lajes Corporativas,"0,92"
FIGS11,Shoppings,"0,68"
FIIB11,Híbrido,"1,11"
FIIP11B,Híbrido,"0,97"
FISC11,Lajes Corporativas,"1,06"
FIXX11,Títulos e Val. Mob.,"1,23"
FLCR11,Títulos e Val. Mob.,"1,00"
FLMA11,Híbrido,"0,86"
FLRP11,Shoppings,"0,77"
FMOF11,Lajes Corporativas,"0,56"
FPAB11,Lajes Corporativas,"0,54"
FPNG11,Lajes Corporativas,"0,60"
FRBR11,Títulos e Val. Mob.,"1,01"
FTCE11B,Híbrido,"1,11"
FVBI11,Lajes Corporativas,"0,00"
FVPQ11,Shoppings,"0,66"
GALG11,Híbrido,"1,05"
GCFF11,Títulos e Val. Mob.,"0,95"
GCRI11,Títulos e Val. Mob.,"0,99"
GESE11B,Outros,"0,92"
GGRC11,Logística,"0,99"
GRLV11,Logística,"24,38"
GTWR11,Lajes Corporativas,"1,00"
GWIR11,Shoppings,"0,74"
HAAA11,Lajes Corporativas,"1,04"
HABT11,Títulos e Val. Mob.,"1,32"
HBCR11,Outros,"1,12"
HBRH11,Híbrido,"0,90"
HBTT11,Títulos e Val. Mob.,"1,19"
HCHG11,Outros,"1,02"
HCRI11,Hospital,"1,37"
HCTR11,Títulos e Val. Mob.,"1,16"
HFOF11,Títulos e Val. Mob.,"0,99"
HGBS11,Shoppings,"0,94"
HGCR11,Títulos e Val. Mob.,"1,02"
HGFF11,Títulos e Val. Mob.,"0,89"
HGIC11,Títulos e Val. Mob.,"1,04"
HGJH11,Lajes Corporativas,"0,79"
HGLG11,Logística,"1,15"
HGPO11,Lajes Corporativas,"0,95"
HGRE11,Lajes Corporativas,"0,84"
HGRU11,Híbrido,"1,01"
HLOG11,Logística,"0,94"
HMOC11,Shoppings,"0,95"
HOSI11,Híbrido,"0,89"
HPDP11,Shoppings,"0,85"
HRDF11,Híbrido,"0,93"
HREC11,Títulos e Val. Mob.,"1,04"
HSAF11,Títulos e Val. Mob.,"1,04"
HSLG11,Logística,"0,91"
HSML11,Shoppings,"0,91"
HSRE11,Híbrido,"1,00"
HTMX11,Hotel,"0,84"
HUSC11,Outros,"0,98"
IBFF11,Títulos e Val. Mob.,"0,83"
IFID11,Títulos e Val. Mob.,"0,96"
IFIE11,Títulos e Val. Mob.,"0,97"
IRDM11,Títulos e Val. Mob.,"1,21"
JBFO11,Títulos e Val. Mob.,"1,02"
JFLL11,Residencial,"0,90"
JPPA11,Títulos e Val. Mob.,"0,94"
JPPC11,Híbrido,"0,65"
JRDM11,Shoppings,"0,73"
JSRE11,Híbrido,"0,79"
KFOF11,Títulos e Val. Mob.,"0,90"
KINP11,Residencial,"1,66"
KISU11,Títulos e Val. Mob.,"0,10"
KNCR11,Títulos e Val. Mob.,"0,94"
KNHY11,Títulos e Val. Mob.,"1,07"
KNIP11,Títulos e Val. Mob.,"1,08"
KNRE11,Residencial,"1,21"
KNRI11,Híbrido,"0,88"
KNSC11,Títulos e Val. Mob.,"1,09"
LASC11,Shoppings,"0,89"
LATR11B,Residencial,"4,15"
LFTT11,Residencial,"1,75"
LGCP11,Logística,"0,91"
LOFT11B,Residencial,"0,41"
LUGG11,Residencial,"0,75"
LVBI11,Logística,"0,92"
MALL11,Shoppings,"0,94"
MAXR11,Outros,"0,72"
MBRF11,Outros,"0,77"
MCCI11,Títulos e Val. Mob.,"1,03"
MFAI11,Híbrido,"0,98"
MFII11,Híbrido,"0,99"
MGCR11,Títulos e Val. Mob.,"0,99"
MGFF11,Títulos e Val. Mob.,"0,93"
MGHT11,Híbrido,"0,97"
MORE11,Títulos e Val. Mob.,"0,91"
MXRF11,Híbrido,"1,02"
NAVT11,Títulos e Val. Mob.,"0,85"
NCHB11,Títulos e Val. Mob.,"1,03"
NEWL11,Híbrido,"1,00"
NEWU11,Híbrido,"0,56"
NPAR11,Outros,"1,01"
NSLU11,Hospital,"1,17"
NVHO11,Hospital,"0,98"
ONEF11,Lajes Corporativas,"0,89"
ORPD11,Títulos e Val. Mob.,"0,89"
OUCY11,Híbrido,"0,90"
OUFF11,Títulos e Val. Mob.,"0,95"
OUJP11,Híbrido,"0,95"
OULG11,Logística,"0,73"
OURE11,Híbrido,"0,91"
PATC11,Lajes Corporativas,"0,78"
PATL11,Logística,"0,86"
PDDA11B,Logística,"1,15"
PEMA11,Títulos e Val. Mob.,"0,86"
PLCR11,Híbrido,"0,97"
PLOG11,Residencial,"0,91"
PLRI11,Títulos e Val. Mob.,"0,94"
PORD11,Títulos e Val. Mob.,"1,01"
PQAG11,Logística,"1,09"
PQDP11,Shoppings,"0,63"
PRSN11B,Residencial,"1,53"
PRSV11,Lajes Corporativas,"0,56"
PVBI11,Lajes Corporativas,"0,94"
QAGR11,Lajes Corporativas,"0,88"
QAMI11,Híbrido,"0,96"
QIFF11,Títulos e Val. Mob.,"1,08"
QMFF11,Títulos e Val. Mob.,"1,05"
RBBV11,Títulos e Val. Mob.,"0,99"
RBCO11,Lajes Corporativas,"0,58"
RBDS11,Residencial,"0,83"
RBED11,Outros,"0,96"
RBFF11,Títulos e Val. Mob.,"0,92"
RBGS11,Shoppings,"0,43"
RBHY11,Títulos e Val. Mob.,"1,01"
RBIV11,Títulos e Val. Mob.,"0,92"
RBLG11,Logística,"0,90"
RBRD11,Híbrido,"0,79"
RBRF11,Títulos e Val. Mob.,"0,92"
RBRL11,Logística,"0,98"
RBRM11,Híbrido,"1,16"
RBRP11,Outros,"0,94"
RBRR11,Títulos e Val. Mob.,"0,99"
RBRS11,Híbrido,"0,77"
RBRY11,Títulos e Val. Mob.,"0,99"
RBVA11,Outros,"1,00"
RBVO11,,"0,57"
RCFF11,Títulos e Val. Mob.,"1,06"
RCRB11,Lajes Corporativas,"0,78"
RCRI11B,Híbrido,"1,16"
RDES11,Híbrido,"0,92"
